Designator,Mid X,Mid Y,Rotation,Layer
BZ1,122.296,-43.0804,0.0,top
C1,31.618,-34.786,90.0,top
C10,150.236,-84.55,270.0,top
C11,62.352,-101.288,90.0,top
C12,91.811,-101.258,270.0,top
C13,121.28,-101.288,90.0,top
C14,150.231,-101.258,90.0,top
C15,91.049,-116.31,270.0,top
C16,121.285,-116.34,90.0,top
C17,150.236,-116.34,90.0,top
C2,102.23,-31.23002,90.0,top
C3,109.342,-31.23,90.0,top
C4,70.988,-43.98,270.0,top
C5,97.15,-43.646,90.0,top
C6,136.52,-60.7094,90.0,top
C7,62.362,-84.56,90.0,top
C8,91.8304,-84.57,90.0,top
C9,121.28,-84.57,90.0,top
D1,120.01,-31.484,90.0,top
D10,89.4256,-59.683,270.0,top
D11,74.9476,-59.683,270.0,top
D12,84.5996,-59.678,270.0,top
D13,67.178,-59.683,270.0,top
D14,97.1952,-59.683,270.0,top
D15,111.6732,-59.673,270.0,top
D16,106.8472,-59.683,270.0,top
D17,102.0212,-59.683,270.0,top
D2,35.4732,-59.678,270.0,top
D3,30.6472,-59.683,270.0,top
D4,45.1252,-59.678,270.0,top
D5,52.7,-59.683,270.0,top
D6,40.2992,-59.678,270.0,top
D7,57.526,-59.683,270.0,top
D8,62.352,-59.683,270.0,top
D9,79.7736,-59.678,270.0,top
J1,135.844,-32.958,180.0,top
J2,32.512,-83.3,0.0,top
J3,32.512,-94.486,180.0,top
J4,32.512,-112.525,180.0,top
R1,114.422,-31.23,90.0,top
R10,134.234,-48.248,0.0,top
R11,30.6472,-69.584,90.0,top
R12,35.4732,-69.584,90.0,top
R13,52.7,-69.584,90.0,top
R14,45.1252,-69.584,90.0,top
R15,57.526,-69.584,90.0,top
R16,40.2992,-69.584,90.0,top
R17,62.352,-69.584,90.0,top
R18,79.7736,-69.584,90.0,top
R19,84.5996,-69.584,90.0,top
R2,36.19,-43.93,90.0,top
R20,74.9476,-69.584,90.0,top
R21,67.178,-69.584,90.0,top
R22,89.4256,-69.584,90.0,top
R23,102.0212,-69.584,90.0,top
R24,97.1952,-69.584,90.0,top
R25,106.8472,-69.584,90.0,top
R26,111.6732,-69.584,90.0,top
R27,140.33,-69.838,90.0,top
R28,121.788,-69.788,270.0,top
R29,128.392,-69.788,270.0,top
R3,30.602,-43.93,270.0,top
R30,135.504,-69.838,90.0,top
R31,125.09,-69.788,270.0,top
R32,118.486,-69.788,270.0,top
R33,145.156,-69.838,90.0,top
R4,51.684,-43.98,270.0,top
R5,41.524,-43.93,270.0,top
R6,56.51,-43.98,270.0,top
R7,61.336,-43.98,270.0,top
R8,46.604,-43.93,90.0,top
R9,66.162,-43.98,90.0,top
SW1,61.336,-32.55,270.0,top
SW2,40.0,-32.5,270.0,top
SW3,108.072,-44.184,180.0,top
SW4,123.312,-58.104,270.0,top
SW5,151.86,-41.176,180.0,top
SW6,152.014,-57.392,180.0,top
U1,84.45,-43.666,270.0,top
U10,107.564,-101.288,270.0,top
U11,136.51,-116.32,270.0,top
U12,136.515,-101.278,270.0,top
U2,48.636,-84.56,270.0,top
U3,78.1044,-84.56,270.0,top
U4,107.564,-84.57,270.0,top
U5,136.52,-84.57,270.0,top
U6,49.901,-101.278,270.0,top
U7,78.349,-116.31,270.0,top
U8,79.36,-101.268,270.0,top
U9,108.834,-116.33,270.0,top
